OTU ID	S31	S1	S42	S13_T2	S30	S50	S43	S20	S29	S47U	S26	S13_T3	S33	S8L	S23	S10R	S49	S14L	S11	S8R	S22	S38U	S47I	S37	S19	S24	S13_T1	S46	S14R	S3	S27	S44	S10L	S28	S10	S39	S9	S25	S5	S45	S48	S16	S6	S18	S12	S2	S36	S34	S17	S4	S15	S40	S38I	S32	S41	S7	S35	S21	taxonomy
46	5	5	367	8	166	15	109	36	118	164	157	8	63	0	165	12	235	139	239	6	325	23	37	75	215	26	12	256	131	8	90	416	30	105	10	10	111	213	6	179	165	100	11	340	12	15	9	75	497	10	169	82	50	22	51	9	18	286	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;|70
47	14	13	8	0	0	0	5	14	0	0	0	0	0	0	1	0	0	0	15	0	0	0	0	0	22	0	0	0	0	0	0	0	22	0	1	7	22	0	0	0	0	0	0	0	0	1	26	9	0	0	0	0	22	5202	22	1	0	1	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;unclassified;|78
48	7	210	58	201	192	28	80	4	184	103	81	265	79	78	115	146	97	180	72	108	103	41	4	53	11	56	227	34	83	224	384	10	92	14	104	155	167	123	59	43	43	81	191	79	9	54	49	122	147	167	49	59	88	36	151	94	44	205	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Yersinia;|75
49	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	27	0	17	0	10	0	0	21	8	0	0	0	0	15	0	0	0	0	0	0	0	30	21	0	0	7	0	5221	0	0	11	0	0	0	7	0	0	40	0	0	23	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Peptostreptococcus;|98
50	0	2	129	6	6	0	1	0	15	0	2	0	0	1	19	17	0	1992	0	32	0	17	23	2	0	0	0	1	4	58	0	1	48	0	16	7	1	3	0	1	7	0	10	14	7	196	7	11	24	0	4	12	29	18	3476	4	0	1	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;|95
51	28	421	125	88	102	23	130	11	137	91	140	89	80	58	87	105	32	153	72	479	171	54	100	64	319	49	140	62	137	138	224	45	199	28	277	76	456	239	82	75	35	178	226	99	225	135	7	148	148	21	17	92	26	35	68	224	43	78	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;|84
52	0	0	0	26	0	0	0	0	22	11	0	12	0	0	4903	0	0	0	1	0	0	29	0	0	32	8	0	20	0	0	11	0	0	0	0	0	0	12	22	0	0	0	0	28	0	0	54	0	0	32	0	1	1	0	0	0	9	16	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella;|99
54	1	182	9	1	52	0	4	4	61	0	151	1	2	6	103	66	1	7	3	4	1	0	2	1	824	1	4	1	8	51	2	798	87	0	588	1	487	10	6	2	1	70	203	29	51	8	3	9	29	4	1	1	5	19	9	1179	12	9	Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacterium;|100
55	13	7	38	35	32	6	28	9	60	119	17	13	17	62	6	316	41	19	367	67	135	43	10	3	97	55	107	8	111	213	80	36	145	39	92	10	10	267	32	100	4	130	116	232	34	207	10	101	4	393	134	22	15	69	39	94	19	63	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;|95
56	82	67	219	14	9	6	75	18	35	23	72	1	60	9	26	14	134	59	92	15	137	29	28	43	146	59	3	108	134	3	45	61	25	166	10	601	53	75	2	59	70	142	33	239	7	5	5	17	445	1	93	109	19	22	165	67	25	138	Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc;|99
